job_id,service_type,price,material_cost,labor_cost,travel_cost,service_profit
1117,Paver Sealing,2800,1120.0,159.83,26.13,1494.04
1117,Window Cleaning,200,6.0,153.84,26.98,13.18
1117,Driveway Cleaning,350,43.56,83.18,29.75,193.51
1118,Window Cleaning,450,13.5,155.84,28.5,252.16
1119,Patio/Pool Deck Cleaning,500,67.44,94.6,28.49,309.47
1120,Patio/Pool Deck Cleaning,350,43.3,179.31,26.89,100.5
1120,Patio/Pool Deck Cleaning,200,28.29,55.55,21.93,94.23
1120,House Wash,450,47.71,61.54,23.93,316.82
1121,Driveway Cleaning,350,49.07,130.76,23.23,146.94
1121,Solar Panel Cleaning,500,15.0,128.03,18.54,338.43
1122,House Wash,300,36.93,198.55,10.0,54.52
1123,Paver Sealing,1200,480.0,63.28,10.75,645.97
1124,Roof Cleaning,1100,110.0,90.75,17.97,881.28
1124,House Wash,450,52.57,128.38,24.65,244.4
1125,House Wash,650,74.65,177.92,24.31,373.12
1126,House Wash,400,59.0,167.95,11.79,161.26
1127,Roof Cleaning,1200,120.0,185.56,29.78,864.66
1127,House Wash,650,67.11,110.24,26.76,445.89
1128,Paver Sealing,1900,760.0,68.05,10.94,1061.01
1128,House Wash,500,50.92,193.59,26.52,228.97
1128,Roof Cleaning,1100,110.0,144.47,14.33,831.2
1129,Driveway Cleaning,500,72.37,179.02,19.15,229.46
1130,Paver Sealing,1400,560.0,121.5,10.89,707.61
1131,Window Cleaning,700,21.0,99.36,28.63,551.01
1132,Paver Sealing,1200,480.0,87.9,10.1,622.0
1133,Roof Cleaning,650,65.0,129.89,29.24,425.87
1134,Window Cleaning,300,9.0,198.72,11.23,81.05
1134,Roof Cleaning,1400,140.0,127.41,28.13,1104.46
1134,Window Cleaning,400,12.0,149.32,20.88,217.8
1135,Roof Cleaning,800,80.0,128.19,27.36,564.45
1135,Patio/Pool Deck Cleaning,450,48.54,74.06,16.68,310.72
1136,Paver Sealing,1600,640.0,65.88,23.98,870.14
1136,Paver Sealing,2400,960.0,182.25,29.23,1228.52
1136,Paver Sealing,1600,640.0,181.86,10.1,768.04
1137,Roof Cleaning,450,45.0,163.5,15.17,226.33
1137,House Wash,700,72.94,98.97,21.2,506.89
1138,House Wash,650,65.29,172.8,12.57,399.34
1139,Roof Cleaning,500,50.0,76.92,25.07,348.01
1140,Patio/Pool Deck Cleaning,250,34.64,192.09,13.33,9.94
1141,Driveway Cleaning,350,52.33,151.41,18.92,127.34
1141,House Wash,650,84.32,107.54,11.31,446.83
1141,House Wash,500,59.3,172.82,15.05,252.83
1142,Window Cleaning,450,13.5,120.28,28.89,287.33
1143,Solar Panel Cleaning,300,9.0,129.05,26.52,135.43
1143,Roof Cleaning,850,85.0,175.99,25.46,563.55
1143,Roof Cleaning,600,60.0,69.7,27.36,442.94
1144,Paver Sealing,1200,480.0,98.11,24.49,597.4
1145,Patio/Pool Deck Cleaning,250,35.85,157.24,21.26,35.65
1146,Solar Panel Cleaning,250,7.5,73.89,14.07,154.54
1146,Paver Sealing,1300,520.0,73.05,19.07,687.88
1147,Paver Sealing,1500,600.0,169.52,15.88,714.6
1148,Roof Cleaning,1200,120.0,77.82,19.24,982.94
1148,Paver Sealing,1000,400.0,139.75,22.15,438.1
1148,Paver Sealing,1900,760.0,133.76,14.51,991.73
1149,Window Cleaning,200,6.0,98.89,21.81,73.3
1149,Driveway Cleaning,500,74.61,72.44,19.29,333.66
1150,Roof Cleaning,1400,140.0,52.76,19.65,1187.59
1150,Patio/Pool Deck Cleaning,350,41.06,166.37,28.82,113.75
1151,Roof Cleaning,650,65.0,182.38,11.65,390.97
1151,Roof Cleaning,850,85.0,103.67,16.44,644.89
1152,House Wash,500,67.33,173.22,10.82,248.63
1153,Driveway Cleaning,500,53.11,184.43,21.9,240.56
1153,House Wash,700,91.45,94.83,28.7,485.02
1153,Driveway Cleaning,250,32.82,167.51,22.25,27.42
1154,Patio/Pool Deck Cleaning,350,44.68,139.62,25.68,140.02
1154,Paver Sealing,1100,440.0,56.11,13.28,590.61
1155,Window Cleaning,700,21.0,138.99,23.01,517.0
1155,Window Cleaning,250,7.5,142.36,16.58,83.56
1156,Driveway Cleaning,300,43.08,115.05,10.87,131.0
1156,Patio/Pool Deck Cleaning,400,40.42,147.99,16.65,194.94
1157,House Wash,600,62.45,110.49,14.41,412.65
1158,Driveway Cleaning,300,36.94,180.24,24.54,58.28
1159,Roof Cleaning,1400,140.0,101.89,17.42,1140.69
1160,Paver Sealing,1600,640.0,181.01,28.01,750.98
1161,House Wash,500,64.81,186.85,14.21,234.13
1162,Paver Sealing,1300,520.0,85.37,25.52,669.11
1162,Patio/Pool Deck Cleaning,400,52.04,144.88,17.46,185.62
1162,House Wash,350,42.23,60.37,18.74,228.66
1163,Paver Sealing,2000,800.0,138.94,21.59,1039.47
1164,Driveway Cleaning,500,64.71,139.81,17.93,277.55
1165,Driveway Cleaning,200,28.84,116.3,16.62,38.24
1166,Paver Sealing,1600,640.0,71.86,18.99,869.15
1166,Roof Cleaning,1500,150.0,192.29,15.05,1142.66
1167,House Wash,650,84.68,103.51,20.67,441.14
1168,Solar Panel Cleaning,200,6.0,68.45,14.62,110.93
1168,Roof Cleaning,900,90.0,146.0,14.49,649.51
1168,Window Cleaning,300,9.0,63.28,12.07,215.65
1169,Paver Sealing,1200,480.0,109.61,19.6,590.79
1169,Paver Sealing,1500,600.0,52.61,16.46,830.93
1170,Patio/Pool Deck Cleaning,200,22.54,128.26,16.85,32.35
1170,Paver Sealing,2400,960.0,68.86,12.65,1358.49
1171,Driveway Cleaning,350,47.83,74.36,13.77,214.04
1171,Roof Cleaning,1100,110.0,73.42,14.69,901.89
1171,Roof Cleaning,950,95.0,88.3,23.23,743.47
1172,Window Cleaning,250,7.5,52.63,14.88,174.99
1173,Paver Sealing,1000,400.0,140.74,16.36,442.9
1174,Driveway Cleaning,200,27.52,63.57,15.77,93.14
1174,Paver Sealing,1100,440.0,147.58,25.3,487.12
1174,Paver Sealing,1400,560.0,115.73,28.03,696.24
1175,Roof Cleaning,750,75.0,180.34,17.51,477.15
1176,Driveway Cleaning,350,40.75,144.53,22.2,142.52
1176,Paver Sealing,2400,960.0,107.06,20.97,1311.97
1177,House Wash,400,40.29,138.06,13.37,208.28
1178,House Wash,550,68.76,131.35,29.03,320.86
1178,Paver Sealing,1700,680.0,187.14,26.28,806.58
1179,Roof Cleaning,550,55.0,128.99,14.92,351.09
1180,House Wash,300,38.24,162.03,24.31,75.42
1181,Paver Sealing,1200,480.0,114.63,27.93,577.44
1181,Window Cleaning,550,16.5,193.2,23.09,317.21
1181,Roof Cleaning,950,95.0,79.57,19.58,755.85
1182,Paver Sealing,2400,960.0,142.6,20.46,1276.94
1183,Window Cleaning,500,15.0,68.48,27.19,389.33
1183,Paver Sealing,1800,720.0,77.69,15.91,986.4
1184,Roof Cleaning,1100,110.0,187.66,18.49,783.85
1185,House Wash,550,65.27,128.97,12.25,343.51
1185,Paver Sealing,2000,800.0,145.7,20.3,1034.0
1185,Roof Cleaning,550,55.0,169.06,22.93,303.01
1186,House Wash,700,101.71,165.49,21.13,411.67
1187,Roof Cleaning,900,90.0,159.79,27.02,623.19
1188,Paver Sealing,1500,600.0,72.46,18.48,809.06
1188,Solar Panel Cleaning,250,7.5,85.29,27.39,129.82
1189,Patio/Pool Deck Cleaning,400,43.57,96.84,14.6,244.99
1189,Roof Cleaning,1100,110.0,145.69,15.14,829.17
1190,Paver Sealing,1500,600.0,151.38,18.85,729.77
1190,Window Cleaning,650,19.5,158.68,10.32,461.5
1191,Roof Cleaning,1400,140.0,140.48,16.74,1102.78
1191,Window Cleaning,350,10.5,165.89,15.3,158.31
1191,Paver Sealing,2400,960.0,139.36,18.02,1282.62
1192,Paver Sealing,1300,520.0,90.67,21.86,667.47
1192,Patio/Pool Deck Cleaning,500,55.77,118.53,13.81,311.89
1193,Patio/Pool Deck Cleaning,400,47.26,199.32,18.93,134.49
1194,Driveway Cleaning,300,31.33,194.25,22.7,51.72
1194,Paver Sealing,2800,1120.0,75.57,18.19,1586.24
1195,Roof Cleaning,1300,130.0,95.13,29.62,1045.25
1196,Paver Sealing,1500,600.0,67.97,29.48,802.55
1197,Paver Sealing,1100,440.0,179.7,22.17,458.13
1197,Patio/Pool Deck Cleaning,450,48.58,59.47,12.35,329.6
1198,Window Cleaning,550,16.5,107.14,16.93,409.43
1199,Roof Cleaning,550,55.0,173.79,15.59,305.62
1199,Roof Cleaning,750,75.0,181.0,13.24,480.76
1200,Roof Cleaning,900,90.0,134.99,17.82,657.19
1200,Roof Cleaning,800,80.0,109.58,20.79,589.63
1201,Patio/Pool Deck Cleaning,350,44.32,158.21,12.83,134.64
1201,House Wash,300,42.28,98.38,10.46,148.88
1202,Roof Cleaning,450,45.0,184.74,26.59,193.67
1203,House Wash,700,98.88,149.95,12.44,438.73
1203,Solar Panel Cleaning,200,6.0,125.92,14.65,53.43
1203,Window Cleaning,600,18.0,166.51,12.44,403.05
1204,Paver Sealing,2000,800.0,181.42,15.56,1003.02
1204,Solar Panel Cleaning,300,9.0,50.05,10.35,230.6
1204,Driveway Cleaning,300,35.47,107.97,21.29,135.27
1205,Driveway Cleaning,300,37.27,163.14,22.39,77.2
1206,Roof Cleaning,1300,130.0,75.6,11.49,1082.91
1207,Roof Cleaning,1300,130.0,76.66,23.83,1069.51
1208,Paver Sealing,1700,680.0,172.1,22.3,825.6
1208,Paver Sealing,3000,1200.0,143.58,20.54,1635.88
1208,Paver Sealing,900,360.0,69.61,27.73,442.66
1209,Paver Sealing,1100,440.0,112.79,25.81,521.4
1210,Patio/Pool Deck Cleaning,350,38.32,142.84,16.47,152.37
1210,Paver Sealing,1300,520.0,144.39,13.98,621.63
1211,Paver Sealing,1000,400.0,89.88,22.92,487.2
1212,Patio/Pool Deck Cleaning,400,42.98,69.08,27.29,260.65
1213,Roof Cleaning,1300,130.0,171.6,22.28,976.12
1213,House Wash,600,71.77,193.43,12.66,322.14
1214,Driveway Cleaning,300,44.14,171.33,11.53,73.0
1214,House Wash,600,87.91,87.96,25.62,398.51
1215,House Wash,550,67.19,57.17,10.76,414.88
1215,Paver Sealing,1300,520.0,148.86,26.04,605.1
1215,Window Cleaning,300,9.0,55.34,20.17,215.49
1216,Roof Cleaning,1000,100.0,198.74,29.41,671.85
1217,House Wash,550,64.76,111.82,20.99,352.43
1217,Paver Sealing,1000,400.0,60.31,18.49,521.2
1218,Roof Cleaning,600,60.0,184.84,25.65,329.51
1218,Roof Cleaning,700,70.0,196.4,23.35,410.25
1219,Roof Cleaning,1300,130.0,89.11,11.39,1069.5
1220,Solar Panel Cleaning,250,7.5,184.37,16.44,41.69
1221,Driveway Cleaning,200,21.14,122.9,28.41,27.55
1222,Driveway Cleaning,400,51.97,64.25,17.52,266.26
1223,Window Cleaning,700,21.0,74.55,15.48,588.97
1224,Roof Cleaning,650,65.0,150.72,16.34,417.94
1224,Roof Cleaning,1400,140.0,88.76,20.88,1150.36
1224,Roof Cleaning,1600,160.0,83.16,29.57,1327.27
1225,Roof Cleaning,900,90.0,77.09,11.08,721.83
1225,Paver Sealing,2600,1040.0,162.98,15.39,1381.63
1226,Roof Cleaning,950,95.0,123.26,13.01,718.73
1226,House Wash,650,78.44,163.73,24.87,382.96
1226,Paver Sealing,2800,1120.0,65.89,13.03,1601.08
1227,Roof Cleaning,1500,150.0,181.57,18.68,1149.75
1227,Window Cleaning,200,6.0,133.71,26.24,34.05
1228,Paver Sealing,1500,600.0,91.69,13.88,794.43
1228,Paver Sealing,2800,1120.0,148.63,16.22,1515.15
1228,Patio/Pool Deck Cleaning,500,70.38,142.25,23.76,263.61
1229,Paver Sealing,3000,1200.0,163.8,23.57,1612.63
1229,Roof Cleaning,700,70.0,176.3,19.41,434.29
1230,House Wash,550,65.6,146.5,25.61,312.29
1231,House Wash,500,66.58,50.28,13.57,369.57
1232,Roof Cleaning,1600,160.0,77.2,17.75,1345.05
1233,Patio/Pool Deck Cleaning,450,56.48,158.51,12.08,222.93
1233,Paver Sealing,2400,960.0,155.44,11.06,1273.5
1233,Roof Cleaning,500,50.0,139.91,22.04,288.05
1234,Paver Sealing,1200,480.0,128.04,17.47,574.49
1234,Paver Sealing,1800,720.0,160.33,14.72,904.95
1234,Driveway Cleaning,500,51.56,170.21,25.33,252.9
1235,Paver Sealing,1100,440.0,76.02,22.75,561.23
1236,Roof Cleaning,500,50.0,152.89,29.82,267.29
1237,Patio/Pool Deck Cleaning,250,36.88,80.44,21.31,111.37
1237,Patio/Pool Deck Cleaning,400,43.31,155.04,21.72,179.93
1238,Paver Sealing,2600,1040.0,189.44,25.65,1344.91
1238,Patio/Pool Deck Cleaning,350,49.92,83.83,17.54,198.71
1239,Roof Cleaning,1000,100.0,118.73,19.66,761.61
1239,Roof Cleaning,900,90.0,62.09,24.56,723.35
1239,Paver Sealing,2600,1040.0,115.53,24.59,1419.88
1240,Patio/Pool Deck Cleaning,450,46.55,58.56,15.64,329.25
1240,Paver Sealing,2000,800.0,87.05,28.13,1084.82
1240,Paver Sealing,2000,800.0,90.79,25.19,1084.02
1241,Roof Cleaning,1100,110.0,59.8,19.75,910.45
1241,Paver Sealing,3000,1200.0,59.4,28.13,1712.47
1242,Roof Cleaning,1000,100.0,111.66,16.95,771.39
1242,Driveway Cleaning,300,30.33,149.57,29.27,90.83
1243,Paver Sealing,2800,1120.0,57.84,18.38,1603.78
1243,Roof Cleaning,500,50.0,159.62,29.63,260.75
1243,Roof Cleaning,950,95.0,148.13,13.96,692.91
1244,Paver Sealing,1800,720.0,87.64,27.01,965.35
1245,Driveway Cleaning,300,33.41,110.6,20.85,135.14
1245,House Wash,700,89.21,141.94,14.52,454.33
1245,Patio/Pool Deck Cleaning,400,48.57,71.14,23.28,257.01
1246,Roof Cleaning,950,95.0,179.3,19.2,656.5
1247,Driveway Cleaning,450,62.71,66.79,17.12,303.38
1248,Driveway Cleaning,500,55.03,88.79,13.29,342.89
1248,House Wash,450,62.03,127.91,14.1,245.96
1249,Driveway Cleaning,500,61.6,186.38,20.77,231.25
1250,Window Cleaning,250,7.5,148.52,26.44,67.54
1251,House Wash,600,88.93,80.56,20.47,410.04
1251,Paver Sealing,2600,1040.0,168.93,21.55,1369.52
1252,House Wash,650,77.87,187.26,20.66,364.21
1252,Paver Sealing,1800,720.0,154.38,25.87,899.75
1253,Paver Sealing,1600,640.0,185.92,15.54,758.54
1253,House Wash,450,48.17,80.3,13.68,307.85
1253,Window Cleaning,400,12.0,148.14,13.04,226.82
1254,House Wash,650,67.71,182.36,26.07,373.86
1254,Paver Sealing,1900,760.0,195.07,18.36,926.57
